data_hora,cidade,temperatura,umidade,precipitacao,precipitacao_24h,ndwi,risco_previsto
2026-05-14 06:00:00,Sao_Paulo,12.9,95.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 07:00:00,Sao_Paulo,12.8,96.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 08:00:00,Sao_Paulo,14.2,91.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 09:00:00,Sao_Paulo,14.9,92.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 10:00:00,Sao_Paulo,18.0,78.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 11:00:00,Sao_Paulo,21.1,63.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 12:00:00,Sao_Paulo,23.5,49.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 13:00:00,Sao_Paulo,25.1,39.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 14:00:00,Sao_Paulo,25.6,36.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 15:00:00,Sao_Paulo,25.5,35.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 16:00:00,Sao_Paulo,25.1,35.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 17:00:00,Sao_Paulo,24.0,39.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 18:00:00,Sao_Paulo,21.9,49.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 19:00:00,Sao_Paulo,20.3,60.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 20:00:00,Sao_Paulo,18.7,77.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 21:00:00,Sao_Paulo,17.8,92.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 22:00:00,Sao_Paulo,17.4,93.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 23:00:00,Sao_Paulo,17.0,94.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 00:00:00,Sao_Paulo,16.5,97.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 01:00:00,Sao_Paulo,16.5,96.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 02:00:00,Sao_Paulo,16.5,95.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 03:00:00,Sao_Paulo,16.2,96.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 04:00:00,Sao_Paulo,16.1,95.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 05:00:00,Sao_Paulo,16.1,94.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 06:00:00,Sao_Paulo,16.0,95.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 07:00:00,Sao_Paulo,15.9,95.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 08:00:00,Sao_Paulo,17.0,84.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 09:00:00,Sao_Paulo,17.0,88.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-15 10:00:00,Sao_Paulo,17.5,78.0,0.7,0.7,-0.2542796246003193,Baixo
2026-05-15 11:00:00,Sao_Paulo,17.9,78.0,0.6,1.2999999999999998,-0.2542796246003193,Baixo
2026-05-15 12:00:00,Sao_Paulo,17.1,89.0,1.9,3.2,-0.2542796246003193,Baixo
2026-05-15 13:00:00,Sao_Paulo,18.1,85.0,0.5,3.7,-0.2542796246003193,Baixo
2026-05-15 14:00:00,Sao_Paulo,18.6,85.0,0.4,4.1,-0.2542796246003193,Baixo
2026-05-15 15:00:00,Sao_Paulo,18.8,84.0,0.1,4.2,-0.2542796246003193,Baixo
2026-05-15 16:00:00,Sao_Paulo,18.0,90.0,1.3,5.5,-0.2542796246003193,Baixo
2026-05-15 17:00:00,Sao_Paulo,17.5,94.0,1.1,6.6,-0.2542796246003193,Baixo
2026-05-15 18:00:00,Sao_Paulo,17.2,95.0,0.5,7.1,-0.2542796246003193,Baixo
2026-05-15 19:00:00,Sao_Paulo,16.9,94.0,0.0,7.1,-0.2542796246003193,Baixo
2026-05-15 20:00:00,Sao_Paulo,16.9,94.0,0.1,7.2,-0.2542796246003193,Baixo
2026-05-15 21:00:00,Sao_Paulo,17.1,97.0,0.1,7.3,-0.2542796246003193,Baixo
2026-05-15 22:00:00,Sao_Paulo,16.8,97.0,0.2,7.5,-0.2542796246003193,Baixo
2026-05-15 23:00:00,Sao_Paulo,16.0,97.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 00:00:00,Sao_Paulo,15.5,97.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 01:00:00,Sao_Paulo,15.2,96.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 02:00:00,Sao_Paulo,14.9,95.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 03:00:00,Sao_Paulo,14.2,100.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 04:00:00,Sao_Paulo,13.8,100.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 05:00:00,Sao_Paulo,14.0,99.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 06:00:00,Sao_Paulo,13.9,100.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 07:00:00,Sao_Paulo,14.1,99.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 08:00:00,Sao_Paulo,14.8,96.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 09:00:00,Sao_Paulo,16.4,93.0,0.0,7.5,-0.2542796246003193,Baixo
2026-05-16 10:00:00,Sao_Paulo,19.1,82.0,0.0,6.8,-0.2542796246003193,Baixo
2026-05-16 11:00:00,Sao_Paulo,21.3,75.0,0.1,6.3,-0.2542796246003193,Baixo
2026-05-16 12:00:00,Sao_Paulo,23.1,66.0,0.0,4.4,-0.2542796246003193,Baixo
2026-05-16 13:00:00,Sao_Paulo,24.5,60.0,0.0,3.9,-0.2542796246003193,Baixo
2026-05-16 14:00:00,Sao_Paulo,24.9,58.0,0.0,3.5000000000000004,-0.2542796246003193,Baixo
2026-05-16 15:00:00,Sao_Paulo,24.9,53.0,0.0,3.4000000000000004,-0.2542796246003193,Baixo
2026-05-16 16:00:00,Sao_Paulo,24.9,52.0,0.0,2.1000000000000005,-0.2542796246003193,Baixo
2026-05-16 17:00:00,Sao_Paulo,23.1,62.0,0.1,1.1,-0.2542796246003193,Baixo
2026-05-16 18:00:00,Sao_Paulo,21.5,74.0,0.0,0.6000000000000001,-0.2542796246003193,Baixo
2026-05-16 19:00:00,Sao_Paulo,20.4,78.0,0.0,0.6000000000000001,-0.2542796246003193,Baixo
2026-05-16 20:00:00,Sao_Paulo,18.1,89.0,1.8,2.3000000000000003,-0.2542796246003193,Baixo
2026-05-16 21:00:00,Sao_Paulo,18.0,94.0,0.0,2.2,-0.2542796246003193,Baixo
2026-05-16 22:00:00,Sao_Paulo,17.7,95.0,5.2,7.2,-0.2542796246003193,Baixo
2026-05-16 23:00:00,Sao_Paulo,17.7,96.0,0.4,7.6,-0.2542796246003193,Baixo
2026-05-17 00:00:00,Sao_Paulo,17.5,97.0,1.0,8.6,-0.2542796246003193,Baixo
2026-05-17 01:00:00,Sao_Paulo,16.9,99.0,0.2,8.8,-0.2542796246003193,Baixo
2026-05-17 02:00:00,Sao_Paulo,16.6,97.0,0.0,8.8,-0.2542796246003193,Baixo
2026-05-17 03:00:00,Sao_Paulo,17.6,98.0,0.0,8.8,-0.2542796246003193,Baixo
2026-05-17 04:00:00,Sao_Paulo,17.1,100.0,0.0,8.8,-0.2542796246003193,Baixo
2026-05-17 05:00:00,Sao_Paulo,17.2,99.0,0.0,8.8,-0.2542796246003193,Baixo
2026-05-17 06:00:00,Sao_Paulo,17.2,99.0,0.3,9.1,-0.2542796246003193,Baixo
2026-05-17 07:00:00,Sao_Paulo,17.2,99.0,0.3,9.4,-0.2542796246003193,Baixo
2026-05-17 08:00:00,Sao_Paulo,18.0,98.0,0.1,9.5,-0.2542796246003193,Baixo
